1	为何我无法申请开通花呗信用卡收款	支付宝开通信用卡花呗收款不符合条件怎么回事	1
2	花呗分期付款会影响使用吗	花呗分期有什么影响吗	0
3	为什么我花呗没有临时额度	花呗没有临时额度怎么可以负	0
4	能不能开花呗老兄	花呗逾期了还能开通	0
5	我的怎么开通花呗收钱	这个花呗是个什么啥？我没开通 我怎么有账单	0
6	蚂蚁借呗可以停掉么	蚂蚁借呗为什么给我关掉了	0
7	我想把花呗功能关了	我去饭店吃饭，能用花呗支付吗	0
8	为什么我借呗开通了又关闭了	为什么借呗存在风险	0
9	支付宝被冻了花呗要怎么还	支付功能冻结了，花呗还不了怎么办	1
10	这里面怎么少了个蚂蚁借呗	蚂蚁借呗，怎么申请	0
11	借呗不能使用了	我的有积分了为什么蚂蚁借呗不能用	0
12	我的花呗退款余额在那去了,我支付宝里花呗余额显示没有	不小心按差了 在*** 点了退票 显示退票成功 为什么支付宝花呗没有显示	1
13	花呗冻结了 什么办	花呗 被冻结了怎么解开	0
14	我什么时候有机借呗	借呗什么时候换帐	0
15	我想把我的蚂蚁借呗还款改成分期付款可以吗	蚂蚁借呗现在能分期吗	0
16	为什么我的借呗还了款不能借款了	我的蚂蚁借呗什么时候用	0
17	提前还款结清证明怎么开具	我目的是开具还清证明	0
18	申请了借呗为什么没有提示有没有成功	为什么借呗的资格突然没有了	0
19	为什么这几天没有蚂蚁借呗啦	蚂蚁借呗为什么用不上	0
20	花呗可能和支付宝账号不一样吗	支付宝花呗和淘宝内账号统一吗	0
21	这是花呗，我说的是借呗	不是花呗、是借呗	1
22	不用网商贷，用借呗可以不	我不用网上银行了，而且我也没有使用过网商贷	0
23	怎么把花呗设置为默认支付	花呗支付是是怎么用了	0
24	什么时间可以能用花呗	我花呗预期了，现在以还完，什么时候可以在用	0
25	借呗本来***期现在只能分***期啦	蚂蚁借呗现在不能分***期了么	1
26	加油弄用花呗	加油站加油能使用花呗吗	0
27	支付宝花呗线下商户怎么不可以付款	花呗可以扫码支付给商户吗	0
28	怎么都不显示可以花呗付款了	有花呗全额付款	0
29	怎么取消找朋友代还花呗账单	取消订单后可以还请花呗吗	0
30	我的花呗有***多的额度	花呗额度***	0
31	为什么换了手机花呗打不开	我一个花呗关了这个为什么还不能打开	0
32	麻烦你帮我关下我的花呗	我可以不关闭，但是我希望你帮我解释一下，我这个蚂蚁花呗在哪里能支付	0
33	怎么我没蚂蚁借呗	我的蚂蚁花贝怎么还款不起	0
34	退款的钱对方打到花呗上了	花呗已经还清，退货的钱退到哪	0
35	有蚂蚁借呗就没网商贷吗	蚂蚁借呗就是网商贷	0
36	是我花呗逾期吗	蚂蚁花呗可以逾期一个月吗	0
37	花呗绑定手机号没用了怎么	我的花呗绑定了手机通讯录吗	0
38	商户可以用花呗吗	可以到店里用花呗么	1
39	怎么样可以重新提交蚂蚁借呗申请	什么样的支付宝可以用蚂蚁借呗	0
40	花呗怎么老提示绷银行卡	换绑银行卡花呗还有吗	0
41	花呗一个店铺不能连续用两次嘛	在一个店铺消费怎么不能来回用花呗	1
42	花呗与银行卡共同扣款	花呗扣了***银行卡扣了***	0
43	花呗还款了在退货，退款是退在哪里，怎么没有显示	为什么还了花呗，账单显示没还	0
44	借呗逾期后关闭了还可以开通吗	蚂蚁借呗分期还一次之后，还可以继续用吗	0
45	花呗逾期后每天利息多少	逾期了***花呗利息一天是多少	0
46	为什么我借呗打不开了	为什么申请借呗不成功	0
47	花呗为什么不可以交话费了	什么时候能用花呗	0
48	蚂蚁借呗不能到邮政储蓄卡了吗	为什么蚂蚁借呗确认不了借款	0
49	花呗可以还借	花呗到期可以先还一半	0
50	为什么借呗申请的时候说账户有风险	借呗账户怎么看有没有风险	0
51	得多长时间才可以开通花呗	刚注册的支付宝，多久可以开通花呗	0
52	借呗额度自己如何降低额度	我想把借呗额度降为***	0
53	蚂蚁借呗还款日会有来电提醒么	借呗还款会通知么	0
54	设置花呗付款密码怎么设置	花呗秘密在那设置	0
55	借呗逾期两个月会有什么影响	借呗逾期两天会怎么样	0
56	支付宝没钱也可以用花呗吗	花呗可用支付宝余额或微信还款吗	0
57	我我现在的花呗款下个月是分期还款的	花呗分期付款开通了当月需要还款吗	0
58	只是换个号码为什么不可以	我以后只能用邮箱登陆，不能用电话号码吗	0
